name,region_number,region_code,region_subcode
Afghanistan,7,EMR,D
Albania,9,EUR,B
Algeria,1,AFR,D
Andorra,8,EUR,A
Angola,1,AFR,D
Antigua And Barbuda,4,AMR,B
Argentina,4,AMR,B
Armenia,9,EUR,B
Australia,13,WPR,A
Austria,8,EUR,A
Azerbaijan,9,EUR,B
Bahamas,4,AMR,B
Bahrain,6,EMR,B
Bangladesh,12,SEAR,D
Barbados,4,AMR,B
Belarus,10,EUR,C
Belgium,8,EUR,A
Belize,4,AMR,B
Benin,1,AFR,D
Bhutan,12,SEAR,D
Bolivia,5,AMR,D
Bosnia And Herzegovina,9,EUR,B
Botswana,2,AFR,E
Brazil,4,AMR,B
Brunei Darussalam,13,WPR,A
Bulgaria,9,EUR,B
Burkina Faso,1,AFR,D
Burundi,2,AFR,E
Cambodia,14,WPR,B
Cameroon,1,AFR,D
Canada,3,AMR,A
Cape Verde,1,AFR,D
Central African Republic,2,AFR,E
Chad,1,AFR,D
Chile,4,AMR,B
China,14,WPR,B
Colombia,4,AMR,B
Comoros,1,AFR,D
Congo,2,AFR,E
"The Congo, Democratic Republic Of",2,AFR,E
Cook Islands,14,WPR,B
Costa Rica,4,AMR,B
Côte d'Ivoire,2,AFR,E
Croatia,8,EUR,A
Cuba,3,AMR,A
Cyprus,6,EMR,B
Czech Republic,8,EUR,A
Democratic Peoples Republic Of Korea,12,SEAR,D
Democratic Republic Of The Congo,2,AFR,E
Denmark,8,EUR,A
Djibouti,7,EMR,D
Dominica,4,AMR,B
Dominican Republic,4,AMR,B
Ecuador,5,AMR,D
Egypt,7,EMR,D
El Salvador,4,AMR,B
Equatorial Guinea,1,AFR,D
Eritrea,2,AFR,E
Estonia,10,EUR,C
Ethiopia,2,AFR,E
Fiji,14,WPR,B
Finland,8,EUR,A
France,8,EUR,A
Gabon,1,AFR,D
Gambia,1,AFR,D
Georgia,9,EUR,B
Germany,8,EUR,A
Ghana,1,AFR,D
Greece,8,EUR,A
Grenada,4,AMR,B
Guatemala,5,AMR,D
