REF_AREA:Geographic area,2018,2019,2020,2021,delta,delta_rank
AFG: Afghanistan,81,75,78,74,3,188.5
AGO: Angola,74,67,61,57,-6,30.5
ALB: Albania,99,99,99,98,0,125.0
AND: Andorra,99,99,99,99,0,125.0
ARE: United Arab Emirates,99,99,90,96,-9,13.0
ARG: Argentina,91,87,79,82,-8,18.5
ARM: Armenia,96,96,96,96,0,125.0
ATG: Antigua and Barbuda,99,98,98,93,0,125.0
AUS: Australia,98,98,98,98,0,125.0
AUT: Austria,90,93,95,95,2,184.0
AZE: Azerbaijan,96,96,85,92,-11,8.5
BDI: Burundi,94,97,98,96,1,174.0
BEL: Belgium,99,98,98,98,0,125.0
BEN: Benin,84,84,83,84,-1,75.0
BFA: Burkina Faso,95,95,95,95,0,125.0
BGD: Bangladesh,99,99,99,99,0,125.0
BGR: Bulgaria,94,96,94,92,-2,64.5
BHR: Bahrain,99,99,99,99,0,125.0
BHS: Bahamas,94,91,97,79,6,194.0
BIH: Bosnia and Herzegovina,89,89,89,89,0,125.0
BLR: Belarus,98,98,97,98,-1,75.0
BLZ: Belize,97,99,79,83,-20,2.0
BOL: Bolivia (Plurinational State of),89,81,79,75,-2,64.5
BRA: Brazil,87,79,88,74,9,195.0
BRB: Barbados,96,92,86,83,-6,30.5
BRN: Brunei Darussalam,99,99,99,99,0,125.0
BTN: Bhutan,98,99,96,99,-3,54.0
BWA: Botswana,98,98,98,98,0,125.0
CAF: Central African Republic,54,54,54,54,0,125.0
CAN: Canada,94,94,94,94,0,125.0
CHE: Switzerland,98,98,98,97,0,125.0
CHL: Chile,99,99,98,99,-1,75.0
CHN: China,99,99,99,99,0,125.0
CIV: Côte d'Ivoire,95,92,84,85,-8,18.5
CMR: Cameroon,76,75,77,76,2,184.0
COD: Democratic Republic of the Congo,82,84,83,81,-1,75.0
COG: Congo,79,82,77,81,-5,35.5
COK: Cook Islands,99,99,99,99,0,125.0
COL: Colombia,92,95,92,90,-3,54.0
COM: Comoros,96,96,93,95,-3,54.0
CPV: Cabo Verde,99,96,93,93,-3,54.0
CRI: Costa Rica,95,96,99,99,3,188.5
CUB: Cuba,99,99,99,99,0,125.0
CYP: Cyprus,99,98,98,98,0,125.0
CZE: Czechia,99,99,99,98,0,125.0
DEU: Germany,98,98,98,98,0,125.0
DJI: Djibouti,91,90,76,70,-14,4.0
DMA: Dominica,99,99,99,96,0,125.0
DNK: Denmark,97,97,97,98,0,125.0
DOM: Dominican Republic,98,96,86,99,-10,10.0
DZA: Algeria,96,96,96,96,0,125.0
ECU: Ecuador,86,85,74,78,-11,8.5
EGY: Egypt,96,96,95,97,-1,75.0
ERI: Eritrea,97,97,97,97,0,125.0
ESP: Spain,98,98,98,96,0,125.0
EST: Estonia,93,92,92,91,0,125.0
ETH: Ethiopia,77,76,76,70,0,125.0
FIN: Finland,99,98,98,98,0,125.0
FJI: Fiji,99,99,99,99,0,125.0
FRA: France,99,99,99,99,0,125.0
FSM: Micronesia (Federated States of),97,97,98,95,1,174.0
GAB: Gabon,78,77,69,76,-8,18.5
GBR: United Kingdom,98,97,97,97,0,125.0
GEO: Georgia,99,99,95,97,-4,42.5
GHA: Ghana,97,97,94,99,-3,54.0
GIN: Guinea,62,62,62,62,0,125.0
GMB: Gambia,94,93,88,82,-5,35.5
GNB: Guinea-Bissau,92,86,87,81,1,174.0
GNQ: Equatorial Guinea,77,77,77,77,0,125.0
GRC: Greece,99,99,99,99,0,125.0
GRD: Grenada,96,97,79,79,-18,3.0
GTM: Guatemala,94,92,92,89,0,125.0
GUY: Guyana,99,99,99,98,0,125.0
HND: Honduras,93,89,85,82,-4,42.5
HRV: Croatia,98,98,98,98,0,125.0
HTI: Haiti,84,75,75,75,0,125.0
HUN: Hungary,99,99,99,99,0,125.0
IDN: Indonesia,90,90,83,74,-7,25.0
IND: India,93,94,87,88,-7,25.0
IRL: Ireland,98,98,98,98,0,125.0
IRN: Iran (Islamic Republic of),99,99,99,98,0,125.0
IRQ: Iraq,95,93,90,89,-3,54.0
ISL: Iceland,97,95,96,97,1,174.0
ISR: Israel,99,99,99,99,0,125.0
ITA: Italy,95,98,94,94,-4,42.5
JAM: Jamaica,99,97,97,93,0,125.0
JOR: Jordan,98,90,78,78,-12,6.0
JPN: Japan,99,99,98,98,-1,75.0
KAZ: Kazakhstan,99,99,94,98,-5,35.5
